average_speed,datetime,name,hourly_volume,volume
26.0,2025-11-01 20:45:00,n_s_01_0,40,3
23.0,2025-11-01 20:45:00,n_s_01_1,55,5
27.0,2025-11-01 20:40:00,e_w_01_0,36,3
35.0,2025-11-01 20:40:00,e_w_01_1,46,4
18.0,2025-11-01 20:40:00,e_w_01_2,4,0
45.0,2025-11-01 20:40:00,w_e_01_2,18,2
0.0,2025-11-01 20:40:00,e_n_0,0,0
1.0,2025-11-01 20:40:00,e_n_1,2,0
22.0,2025-11-01 20:40:00,w_s_0,6,0
11.0,2025-11-01 20:40:00,w_e_01_0,28,2
27.0,2025-11-01 20:40:00,w_e_01_1,41,3
24.0,2025-11-01 20:40:00,n_s_01_0,42,4
26.0,2025-11-01 20:40:00,n_s_01_1,68,6
27.0,2025-11-01 20:35:00,e_w_01_0,47,4
33.0,2025-11-01 20:35:00,e_w_01_1,44,4
38.0,2025-11-01 20:35:00,e_w_01_2,13,1
29.0,2025-11-01 20:35:00,w_e_01_2,29,2
0.0,2025-11-01 20:35:00,e_n_0,0,0
1.0,2025-11-01 20:35:00,e_n_1,2,0
20.0,2025-11-01 20:35:00,w_s_0,5,0
19.0,2025-11-01 20:35:00,w_e_01_0,33,3
18.0,2025-11-01 20:35:00,w_e_01_1,39,3
25.0,2025-11-01 20:35:00,n_s_01_0,44,4
31.0,2025-11-01 20:35:00,n_s_01_1,28,2
31.0,2025-11-01 20:30:00,e_w_01_0,51,4
36.0,2025-11-01 20:30:00,e_w_01_1,53,4
26.0,2025-11-01 20:30:00,e_w_01_2,5,0
34.0,2025-11-01 20:30:00,w_e_01_2,16,1
0.0,2025-11-01 20:30:00,e_n_0,0,0
0.0,2025-11-01 20:30:00,e_n_1,1,0
21.0,2025-11-01 20:30:00,w_s_0,12,1
11.0,2025-11-01 20:30:00,w_e_01_0,23,2
35.0,2025-11-01 20:30:00,w_e_01_1,42,4
25.0,2025-11-01 20:30:00,n_s_01_0,33,3
30.0,2025-11-01 20:30:00,n_s_01_1,24,2
31.0,2025-11-01 20:25:00,e_w_01_0,39,3
34.0,2025-11-01 20:25:00,e_w_01_1,37,3
51.0,2025-11-01 20:25:00,e_w_01_2,8,1
36.0,2025-11-01 20:25:00,w_e_01_2,22,2
0.0,2025-11-01 20:25:00,e_n_0,0,0
1.0,2025-11-01 20:25:00,e_n_1,3,0
21.0,2025-11-01 20:25:00,w_s_0,8,1
10.0,2025-11-01 20:25:00,w_e_01_0,36,3
22.0,2025-11-01 20:25:00,w_e_01_1,42,4
26.0,2025-11-01 20:25:00,n_s_01_0,36,3
30.0,2025-11-01 20:25:00,n_s_01_1,28,2
32.0,2025-11-01 20:20:00,e_w_01_0,45,4
35.0,2025-11-01 20:20:00,e_w_01_1,49,4
40.0,2025-11-01 20:20:00,e_w_01_2,4,0
36.0,2025-11-01 20:20:00,w_e_01_2,19,2
0.0,2025-11-01 20:20:00,e_n_0,0,0
0.0,2025-11-01 20:20:00,e_n_1,2,0
26.0,2025-11-01 20:20:00,w_s_0,11,1
17.0,2025-11-01 20:20:00,w_e_01_0,43,4
24.0,2025-11-01 20:20:00,w_e_01_1,39,3
23.0,2025-11-01 20:20:00,n_s_01_0,36,3
30.0,2025-11-01 20:20:00,n_s_01_1,33,3
29.0,2025-11-01 20:15:00,e_w_01_0,49,4
39.0,2025-11-01 20:15:00,e_w_01_2,6,0
34.0,2025-11-01 20:15:00,e_w_01_1,55,5
37.0,2025-11-01 20:15:00,w_e_01_2,28,2
